index,provinceEnglishName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
1055,Neimenggu,107,74,1,2020/3/31
1056,Yunnan,181,172,2,2020/3/31
1057,Hubei,67801,62889,3186,2020/3/30
1058,Hong Kong,682,123,4,2020/3/30
1059,Tianjin,174,133,3,2020/3/30
1060,Taiwan,306,39,5,2020/3/30
1061,Beijing,577,415,8,2020/3/30
1062,Shanghai,498,338,5,2020/3/30
1063,Jiangxi,937,935,1,2020/3/30
1064,Guangdong,1484,1351,8,2020/3/30
1065,Macau,38,10,0,2020/3/30
1066,Hebei,321,310,6,2020/3/30
1067,Jiangsu,645,631,0,2020/3/30
1068,Zhejiang,1255,1225,1,2020/3/30
1069,Sichuan,550,536,3,2020/3/30
1070,Fujian,340,295,1,2020/3/30
1071,Shandong,773,753,7,2020/3/30
1072,Neimenggu,97,74,1,2020/3/30
1073,Liaoning,136,124,2,2020/3/30
1074,Gansu,138,125,2,2020/3/29
1075,Hubei,67801,62570,3182,2020/3/29
1076,Beijing,577,412,8,2020/3/29
1077,Hong Kong,641,112,4,2020/3/29
1078,Taiwan,298,30,2,2020/3/29
1079,Tianjin,166,133,3,2020/3/29
1080,Liaoning,134,124,2,2020/3/29
1081,Zhejiang,1254,1225,1,2020/3/29
1082,Shanghai,492,334,5,2020/3/29
1083,Guangdong,1475,1349,8,2020/3/29
1084,Jiangsu,644,631,0,2020/3/29
1085,Jiangxi,937,934,1,2020/3/29
1086,Sichuan,550,536,3,2020/3/29
1087,Henan,1276,1251,22,2020/3/29
1088,Fujian,338,295,1,2020/3/29
1089,Neimenggu,95,74,1,2020/3/29
1090,Jilin,98,92,1,2020/3/29
1091,Shanxi,136,133,0,2020/3/29
1092,Chongqing,579,570,6,2020/3/29
1093,Macau,37,10,0,2020/3/28
1094,Liaoning,132,124,2,2020/3/28
1095,Hong Kong,561,112,4,2020/3/28
1096,Tianjin,161,133,3,2020/3/28
1097,Taiwan,283,30,2,2020/3/28
1098,Beijing,573,410,8,2020/3/28
1099,Gansu,136,125,2,2020/3/28
1100,Neimenggu,94,74,1,2020/3/28
1101,Guangdong,1467,1341,8,2020/3/28
